subset_size,r2_value0,r2_value1,r2_value2,test_accuracy,test_loss,anli_r3_loss,anli_r3_accuracy,mnli_loss,mnli_accuracy,anli_r2_loss,anli_r2_accuracy,semeval_loss,semeval_accuracy,anli_r1_loss,anli_r1_accuracy,sick_loss,sick_accuracy,mean_odd_accuracy,mean_odd_loss,r2_value
54935,0.8895118905406251,0.8893530343598778,0.891155841065901,0.8618688925081434,0.38428279757499695,1.7948964834213257,0.3416666666666667,0.828673779964447,0.6839910496338486,1.9679036140441895,0.306,1.8187209367752075,0.5051755632230567,1.9745346307754517,0.284,1.822907567024231,0.5046881369751325,0.437586902749784,1.701272835334142,0.8900069219888013
109870,0.8899850921833942,0.8897839983502406,0.8914187244967032,0.8737785016286646,0.33692479133605957,1.654415249824524,0.3325,0.7084160447120667,0.7112489829129374,1.773914098739624,0.29,1.709068775177002,0.5041607469048103,1.846494197845459,0.26,1.7119848728179932,0.5034651447207501,0.4335624790897496,1.5673822065194447,0.890395938343446
164805,0.8901943536512257,0.8899153288202793,0.8916216202891565,0.8748982084690554,0.33124399185180664,1.639012098312378,0.32083333333333336,0.6946902275085449,0.717860048820179,1.7883046865463257,0.304,1.4930076599121094,0.5124822407144307,1.962878704071045,0.253,1.4955008029937744,0.5120260905014268,0.4367002855615616,1.5122323632240295,0.8905771009202205
219740,0.8902562055448001,0.8900138071972185,0.8917596749277935,0.8906758957654723,0.31537342071533203,1.9625797271728516,0.32083333333333336,0.7250040173530579,0.7318958502847844,2.1036202907562256,0.28,1.829473853111267,0.5705297341181246,2.1638147830963135,0.276,1.8347867727279663,0.5695067264573991,0.4581276073656069,1.7698799073696136,0.890676562556604
274675,0.8902209699507669,0.890073586820478,0.891793615644572,0.8856881107491856,0.3107416331768036,1.6349323987960815,0.30666666666666664,0.6750668883323669,0.7235557363710333,1.8197051286697388,0.266,1.434635877609253,0.5731682565455652,1.8621034622192383,0.254,1.4383747577667236,0.5719527109661638,0.44922389509157146,1.4774697522322338,0.890696057471939
329610,0.8903300977866624,0.8901226661303263,0.8918371528316152,0.8935260586319218,0.296896755695343,1.8814424276351929,0.3175,0.6931813955307007,0.7299633848657445,1.9319417476654053,0.31,1.6639348268508911,0.5676882484270347,2.0907251834869385,0.259,1.6689497232437134,0.5664492458214432,0.45843347985237043,1.6550292174021404,0.890763305582868
384545,0.8903437347059623,0.8901679880812599,0.8918266997420269,0.8967833876221498,0.31101366877555847,2.059359550476074,0.32416666666666666,0.7325683832168579,0.7306753458096013,2.2022624015808105,0.283,1.8745654821395874,0.5522630403896894,2.440905809402466,0.23,1.880039095878601,0.5511618426416632,0.44521114925127003,1.8649501204490662,0.8907794741764165
439480,0.8902372215534087,0.8901016955047025,0.8918678142077677,0.8974959283387622,0.2919161915779114,1.701537013053894,0.3575,0.6917023658752441,0.7293531326281529,1.7196292877197266,0.318,1.6623032093048096,0.5764156687639537,1.8829543590545654,0.284,1.6674275398254395,0.5752140236445169,0.4734138041727706,1.5542589624722798,0.8907355770886264
494415,0.8904698419683033,0.8901484539164713,0.8918303732053466,0.8954600977198697,0.294725239276886,1.756530523300171,0.355,0.6787758469581604,0.7299633848657445,1.8730242252349854,0.293,1.6612308025360107,0.5573371219809214,1.9706252813339233,0.262,1.667116403579712,0.5558499796167957,0.45885841441057695,1.6012171804904938,0.8908162230300404
549350,0.8903696693369785,0.8901611628433926,0.8918013042048831,0.8928135179153095,0.29836398363113403,1.512949824333191,0.3416666666666667,0.6822842955589294,0.7125711960943857,1.5586869716644287,0.303,1.6315189599990845,0.55774304850822,1.6738940477371216,0.279,1.6363989114761353,0.556461475743987,0.45840706450220986,1.4492888351281483,0.8907773787950847
